House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Barry Avenue,Gail,Lamb,31,Head,Single,Female,"Producer, radio",None,Methodist
2,Barry Avenue,Grace,Wells,91,Head,Widowed,Female,"Retired Administrator, sports",None,Catholic
3,Barry Avenue,John,Rowley,88,Head,Married,Male,Retired Bookseller,None,None
3,Barry Avenue,Andrea,Rowley,88,Wife,Married,Female,Retired Industrial buyer,None,None
4,Barry Avenue,Jade,Morris,73,Head,Widowed,Female,"Retired Scientist, audiological",None,Christian
5,Barry Avenue,Sylvia,Mahmood,41,Head,Married,Female,Recycling officer,None,Catholic
5,Barry Avenue,Denis,Mahmood,43,Husband,Married,Male,Futures trader,None,Catholic
5,Barry Avenue,Carolyn,Mahmood,5,Daughter,NA,Female,Student,None,NA
6,Barry Avenue,Irene,Lyons,73,Head,Widowed,Female,Retired Television production assistant,None,None
7,Barry Avenue,Carolyn,Thomas,53,Head,Divorced,Female,"Therapist, horticultural",None,Methodist
8,Barry Avenue,Mathew,Jones,54,Head,Married,Male,Higher education careers adviser,None,Christian
8,Barry Avenue,Helen,Jones,53,Wife,Married,Female,Print production planner,None,Christian
9,Barry Avenue,Gareth,Brown,54,Head,Single,Male,Contractor,None,None
10,Barry Avenue,Susan,Iqbal,85,Head,Divorced,Female,Retired Chemical engineer,None,Methodist
11,Barry Avenue,Susan,Hunter,71,Head,Single,Female,Retired Psychiatric nurse,None,Catholic
12,Barry Avenue,Emily,Booth,22,Head,Married,Female,Structural engineer,None,Methodist
12,Barry Avenue,Shaun,Booth,22,Husband,Married,Male,University Student,None,Methodist
12,Barry Avenue,Joel,Booth,5,Son,NA,Male,Student,None,NA
13,Barry Avenue,Ross,Owen,70,Head,Widowed,Male,Retired Equality and diversity officer,None,Christian
14,Barry Avenue,Wayne,Goodwin,60,Head,Single,Male,Logistics and distribution manager,None,Christian
15,Barry Avenue,Molly,Ahmed,95,Head,Married,Female,Retired Exhibition designer,None,Catholic
15,Barry Avenue,Jason,Ahmed,96,Husband,Married,Male,"Retired Accountant, chartered management",None,Catholic
16,Barry Avenue,Aimee,Dixon,80,Head,Single,Female,"Retired Engineer, manufacturing systems",None,None
1,Peacock Avenue,Eileen,Mason,34,Head,Married,Female,Operations geologist,None,Catholic
1,Peacock Avenue,Liam,Mason,38,Husband,Married,Male,Personal assistant,None,Catholic
2,Peacock Avenue,Damien,Long,65,Head,Married,Male,Risk manager,None,Christian
2,Peacock Avenue,Jenna,Long,64,Wife,Married,Female,"Librarian, academic",None,Christian
3,Peacock Avenue,Catherine,Rose,57,Head,Single,Female,Radio broadcast assistant,None,Christian
4,Peacock Avenue,Teresa,Law,35,Head,Single,Female,Best boy,None,None
4,Peacock Avenue,Mary,Smith,37,Partner,Single,Female,"Production assistant, radio",None,None
5,Peacock Avenue,Sylvia,Johnson,72,Head,Widowed,Female,"Retired Pharmacist, hospital",None,Christian
5,Peacock Avenue,Hayley,Johnson,38,Daughter,Single,Female,Trading standards officer,None,None
6,Peacock Avenue,Glenn,Williams,64,Head,Divorced,Male,Unemployed,None,Christian
6,Peacock Avenue,Victor,Harris,3,Grandson,NA,Male,Child,None,NA
7,Peacock Avenue,Wendy,Willis,32,Head,Married,Female,Call centre manager,None,Muslim
7,Peacock Avenue,Raymond,Willis,34,Husband,Married,Male,Oncologist,None,Muslim
7,Peacock Avenue,Ann,Willis,1,Daughter,NA,Female,Child,None,NA
8,Peacock Avenue,Timothy,Harding,69,Head,Widowed,Male,"Retired Radiographer, diagnostic",None,Methodist
8,Peacock Avenue,Antony,Harding,37,Son,Divorced,Male,Chartered public finance accountant,None,Methodist
9,Peacock Avenue,Adam,Brown,54,Head,Single,Male,Fitness centre manager,None,Christian
10,Peacock Avenue,Sophie,Webster,59,Head,Married,Female,Unemployed,None,Methodist
10,Peacock Avenue,Stewart,Webster,62,Husband,Married,Male,Unemployed,None,Methodist
10,Peacock Avenue,Hannah,Webster,33,Daughter,Single,Female,Therapeutic radiographer,None,Methodist
10,Peacock Avenue,Valerie,Webster,30,Daughter,Single,Female,Musician,None,Methodist
10,Peacock Avenue,Nicholas,Webster,30,Son,Divorced,Male,"Surveyor, building control",None,Methodist
11,Peacock Avenue,Maria,Johnson,46,Head,Married,Female,"Engineer, site",None,None
11,Peacock Avenue,Anthony,Johnson,48,Husband,Married,Male,Records manager,None,None
11,Peacock Avenue,George,Johnson,19,Son,Single,Male,University Student,None,None
11,Peacock Avenue,Owen,Johnson,18,Son,Single,Male,Student,None,None
11,Peacock Avenue,Victor,Johnson,16,Son,NA,Male,Student,None,NA
11,Peacock Avenue,Simon,Johnson,15,Son,NA,Male,Student,None,NA
12,Peacock Avenue,Claire,Greenwood,24,Head,Divorced,Female,Unemployed,None,None
12,Peacock Avenue,Shannon,Greenwood,3,Daughter,NA,Female,Child,None,NA
12,Peacock Avenue,Terence,Greenwood,3,Son,NA,Male,Child,None,NA
12,Peacock Avenue,Katherine,Greenwood,0,Daughter,NA,Female,Child,None,NA
12,Peacock Avenue,Brian,Graham,27,Lodger,Single,Male,Corporate treasurer,None,Christian
13,Peacock Avenue,Stewart,White,37,Head,Divorced,Male,Unemployed,None,Catholic
13,Peacock Avenue,Brandon,White,14,Son,NA,Male,Student,None,NA
13,Peacock Avenue,Timothy,White,10,Son,NA,Male,Student,None,NA
13,Peacock Avenue,Chelsea,Payne,6,Daughter,NA,Female,Student,None,NA
13,Peacock Avenue,Charlotte,Payne,3,Daughter,NA,Female,Child,None,NA
14,Peacock Avenue,Olivia,O'Donnell,45,Head,Married,Female,Outdoor activities/education manager,None,Catholic
14,Peacock Avenue,Lewis,O'Donnell,47,Husband,Married,Male,Tourist information centre manager,None,None
14,Peacock Avenue,Jack,O'Donnell,9,Son,NA,Male,Student,None,NA
15,Peacock Avenue,Yvonne,Hall,70,Head,Married,Female,Retired Emergency planning/management officer,None,Christian
15,Peacock Avenue,Rhys,Hall,72,Husband,Married,Male,"Retired Sound technician, broadcasting/film/video",None,Christian
16,Peacock Avenue,Victor,Pearce,23,Head,Single,Male,Visual merchandiser,None,None
16,Peacock Avenue,Joan,Ward,19,Partner,Single,Female,University Student,None,None
17,Peacock Avenue,Josephine,Walsh,35,Head,Single,Female,Contracting civil engineer,None,None
17,Peacock Avenue,Mohammed,Harris,36,Partner,Single,Male,Sports development officer,None,None
18,Peacock Avenue,Laura,Jones,36,Head,Married,Female,"Therapist, drama",None,Catholic
18,Peacock Avenue,Brian,Jones,36,Husband,Married,Male,Field seismologist,None,Catholic
18,Peacock Avenue,Emily,Jones,5,Daughter,NA,Female,Student,None,NA
18,Peacock Avenue,Gerard,Jones,1,Son,NA,Male,Child,None,NA
18,Peacock Avenue,Roy,Jones,0,Son,NA,Male,Child,None,NA
19,Peacock Avenue,Elliot,Johnson,21,Head,Single,Male,University Student,None,Christian
19,Peacock Avenue,Ashley,Williams,20,None,Single,Male,University Student,None,Catholic
20,Peacock Avenue,Lynne,Davies,55,Head,Married,Female,"Engineer, biomedical",None,Christian
20,Peacock Avenue,Edward,Davies,64,Husband,Married,Male,Chartered management accountant,None,Christian
20,Peacock Avenue,Christopher,Davies,25,Son,Divorced,Male,Microbiologist,None,None
20,Peacock Avenue,Roy,Davies,24,Son,Single,Male,"Lighting technician, broadcasting/film/video",None,Christian
20,Peacock Avenue,Sandra,Davies,13,Daughter,NA,Female,Student,None,NA
21,Peacock Avenue,Joan,Storey,46,Head,Divorced,Female,Unemployed,None,None
21,Peacock Avenue,Lisa,Jenkins,2,Step-Daughter,NA,Female,Child,None,NA
22,Peacock Avenue,Lesley,Gilbert,22,Head,Widowed,Female,Unemployed,None,Jewish
22,Peacock Avenue,Derek,Gilbert,2,Son,NA,Male,Child,None,NA
23,Peacock Avenue,Shaun,Watson,73,Head,Married,Male,"Retired Surveyor, quantity",None,Christian
23,Peacock Avenue,Francesca,Watson,71,Wife,Married,Female,Retired Land/geomatics surveyor,None,None
24,Peacock Avenue,Sheila,Watkins,33,Head,Single,Female,Race relations officer,None,None
24,Peacock Avenue,Ryan,Bolton,35,Partner,Single,Male,"Engineer, technical sales",None,None
25,Peacock Avenue,Rachael,Hawkins,74,Head,Widowed,Female,Retired Printmaker,None,Christian
25,Peacock Avenue,Charlotte,Mann,15,Granddaughter,NA,Female,Student,None,NA
26,Peacock Avenue,Jodie,Lloyd,50,Head,Single,Female,Telecommunications researcher,None,Christian
26,Peacock Avenue,William,Harris,32,None,Single,Male,Retail buyer,None,Catholic
26,Peacock Avenue,Jamie,Phillips,44,None,Single,Male,Maintenance engineer,None,Catholic
